property_code,property_id,stay_date,banked_ooo,banked_other,blocks_ooo,blocks_other,di_oos,di_capacity,ooo_source
KW,5399,2026-08-02,8,1,8,0,8.00,160,cloudbeds
KW,5399,2026-08-03,8,0,8,0,8.00,160,cloudbeds
KW,5399,2026-08-04,7,0,7,0,7.00,160,cloudbeds
KW,5399,2026-08-05,8,0,8,0,8.00,160,cloudbeds
JW,6802,2026-07-16,7,4,6,4,9.71,133,cloudbeds
JW,6802,2026-07-17,6,4,5,4,8.87,133,cloudbeds
JW,6802,2026-07-18,4,4,4,4,7.94,133,cloudbeds
JW,6802,2026-07-19,4,4,4,4,7.94,133,cloudbeds
JW,6802,2026-07-20,4,4,4,4,7.94,133,cloudbeds
JW,6802,2026-07-21,5,4,5,4,8.93,133,cloudbeds
JW,6802,2026-07-22,6,4,6,4,9.93,133,cloudbeds
JW,6802,2026-07-23,6,4,6,4,9.85,133,cloudbeds
JW,6802,2026-07-24,6,4,6,4,9.93,133,cloudbeds
JW,6802,2026-07-25,5,4,5,4,8.93,133,cloudbeds
JW,6802,2026-07-26,5,4,5,4,8.93,133,cloudbeds
JW,6802,2026-07-27,7,7,7,7,13.90,133,cloudbeds
JW,6802,2026-07-28,7,7,7,7,13.79,133,cloudbeds
JW,6802,2026-07-29,7,6,7,6,12.90,133,cloudbeds
JW,6802,2026-07-30,6,6,6,6,11.91,133,cloudbeds
JW,6802,2026-07-31,6,5,5,5,9.85,133,cloudbeds
JW,6802,2026-08-01,6,6,5,6,10.92,133,cloudbeds
JW,6802,2026-08-02,7,5,6,5,10.92,133,cloudbeds
JW,6802,2026-08-03,6,4,6,4,9.93,133,cloudbeds
JW,6802,2026-08-04,8,5,8,5,13.00,133,cloudbeds
JW,6802,2026-08-05,7,5,8,5,13.00,133,cloudbeds
JN,812,2026-07-16,107,3,100,1,101.00,127,override
JN,812,2026-07-17,107,3,100,1,101.00,127,override
JN,812,2026-07-18,107,3,100,1,101.00,127,override
JN,812,2026-07-19,107,3,100,1,101.00,127,override
JN,812,2026-07-20,107,1,101,1,102.00,127,override
JN,812,2026-07-21,107,1,101,1,102.00,127,override
JN,812,2026-07-22,107,0,102,1,103.00,127,override
JN,812,2026-07-23,107,0,103,1,104.00,127,override
JN,812,2026-07-24,107,0,103,1,104.00,127,override
JN,812,2026-07-25,107,0,103,1,104.00,127,override
JN,812,2026-07-26,107,0,103,1,104.00,127,override
JN,812,2026-07-27,107,0,103,1,104.00,127,override
JN,812,2026-07-28,107,0,103,1,104.00,127,override
JN,812,2026-07-29,107,0,103,1,104.00,127,override
JN,812,2026-07-30,107,0,103,1,104.00,127,override
JN,812,2026-07-31,107,0,103,1,104.00,127,override
JN,812,2026-08-01,107,0,102,1,103.00,127,override
JN,812,2026-08-02,107,0,102,1,103.00,127,override
JN,812,2026-08-03,107,0,102,2,104.00,127,override
JN,812,2026-08-04,107,0,103,2,105.00,127,override
JN,812,2026-08-05,107,0,103,2,105.00,127,override
SA,2535,2026-07-16,8,5,8,3,11.00,140,cloudbeds
SA,2535,2026-07-17,9,5,9,3,12.00,140,cloudbeds
SA,2535,2026-07-18,8,5,8,3,11.00,140,cloudbeds
SA,2535,2026-07-19,8,5,8,3,11.00,140,cloudbeds
SA,2535,2026-07-20,11,0,11,3,14.00,140,cloudbeds
SA,2535,2026-07-21,12,5,12,3,15.00,140,cloudbeds
SA,2535,2026-07-22,10,5,10,3,13.00,140,cloudbeds
SA,2535,2026-07-23,9,5,9,3,12.00,140,cloudbeds
SA,2535,2026-07-24,10,6,10,4,14.00,140,cloudbeds
SA,2535,2026-07-25,10,6,10,3,13.00,140,cloudbeds
SA,2535,2026-07-26,14,6,14,3,17.00,140,cloudbeds
SA,2535,2026-07-27,14,6,14,3,17.00,140,cloudbeds
SA,2535,2026-07-28,15,5,15,3,18.00,140,cloudbeds
SA,2535,2026-07-29,14,5,14,3,17.00,140,cloudbeds
SA,2535,2026-07-30,13,4,13,3,16.00,140,cloudbeds
SA,2535,2026-07-31,14,4,14,3,17.00,140,cloudbeds
SA,2535,2026-08-01,15,4,14,3,17.00,140,cloudbeds
SA,2535,2026-08-02,13,3,12,2,14.00,140,cloudbeds
SA,2535,2026-08-03,14,3,14,3,17.00,140,cloudbeds
SA,2535,2026-08-04,13,2,13,2,15.00,140,cloudbeds
SA,2535,2026-08-05,12,3,12,2,14.00,140,cloudbeds
OR,8700,2026-07-16,10,1,8,0,7.88,135,cloudbeds
OR,8700,2026-07-17,9,1,7,0,6.90,135,cloudbeds
OR,8700,2026-07-18,10,1,8,0,7.88,135,cloudbeds
OR,8700,2026-07-19,10,1,8,0,7.88,135,cloudbeds
OR,8700,2026-07-20,10,0,8,0,7.88,135,cloudbeds
OR,8700,2026-07-21,10,0,8,0,7.88,135,cloudbeds
OR,8700,2026-07-22,9,0,7,0,6.90,135,cloudbeds
OR,8700,2026-07-23,9,0,7,0,6.90,135,cloudbeds
